x,y,date,driver_number,led_num
313,3283,2023-08-27T12:58:57.314Z,14,48
-52,2338,2023-08-27T12:58:57.314Z,16,46
305,3264,2023-08-27T12:58:57.314Z,18,48
1032,4857,2023-08-27T12:58:57.314Z,20,52
-118,2167,2023-08-27T12:58:57.314Z,22,46
416,3549,2023-08-27T12:58:57.314Z,23,49
-4,2462,2023-08-27T12:58:57.314Z,24,46
-105,2201,2023-08-27T12:58:57.314Z,27,46
16,2518,2023-08-27T12:58:57.314Z,31,46
-120,2164,2023-08-27T12:58:57.314Z,40,46
-55,2332,2023-08-27T12:58:57.314Z,44,46
408,3530,2023-08-27T12:58:57.314Z,55,49
416,3548,2023-08-27T12:58:57.314Z,63,49
-40,2369,2023-08-27T12:58:57.314Z,77,46
399,3507,2023-08-27T12:58:57.314Z,81,49
407,3525,2023-08-27T12:58:57.494Z,1,49
306,3264,2023-08-27T12:58:57.494Z,2,48
306,3264,2023-08-27T12:58:57.494Z,4,48
305,3264,2023-08-27T12:58:57.494Z,10,48
430,3586,2023-08-27T12:58:57.494Z,11,49
313,3283,2023-08-27T12:58:57.494Z,14,48
-52,2338,2023-08-27T12:58:57.494Z,16,46
305,3264,2023-08-27T12:58:57.494Z,18,48
1032,4857,2023-08-27T12:58:57.494Z,20,52
-118,2167,2023-08-27T12:58:57.494Z,22,46
416,3549,2023-08-27T12:58:57.494Z,23,49
-4,2462,2023-08-27T12:58:57.494Z,24,46
-105,2201,2023-08-27T12:58:57.494Z,27,46
16,2518,2023-08-27T12:58:57.494Z,31,46
-120,2164,2023-08-27T12:58:57.494Z,40,46
-55,2332,2023-08-27T12:58:57.494Z,44,46
408,3530,2023-08-27T12:58:57.494Z,55,49
416,3548,2023-08-27T12:58:57.494Z,63,49
-40,2369,2023-08-27T12:58:57.494Z,77,46
399,3507,2023-08-27T12:58:57.494Z,81,49
407,3525,2023-08-27T12:58:57.674Z,1,49
306,3264,2023-08-27T12:58:57.674Z,2,48
306,3264,2023-08-27T12:58:57.674Z,4,48
305,3264,2023-08-27T12:58:57.674Z,10,48
430,3586,2023-08-27T12:58:57.674Z,11,49
313,3283,2023-08-27T12:58:57.674Z,14,48
-52,2338,2023-08-27T12:58:57.674Z,16,46
305,3264,2023-08-27T12:58:57.674Z,18,48
1032,4857,2023-08-27T12:58:57.674Z,20,52
-118,2167,2023-08-27T12:58:57.674Z,22,46
416,3549,2023-08-27T12:58:57.674Z,23,49
-4,2462,2023-08-27T12:58:57.674Z,24,46
-105,2201,2023-08-27T12:58:57.674Z,27,46
16,2518,2023-08-27T12:58:57.674Z,31,46
-120,2164,2023-08-27T12:58:57.674Z,40,46
-55,2332,2023-08-27T12:58:57.674Z,44,46
408,3530,2023-08-27T12:58:57.674Z,55,49
416,3548,2023-08-27T12:58:57.674Z,63,49
-40,2369,2023-08-27T12:58:57.674Z,77,46
399,3507,2023-08-27T12:58:57.674Z,81,49
407,3525,2023-08-27T12:58:58.054Z,1,49
306,3264,2023-08-27T12:58:58.054Z,2,48
306,3264,2023-08-27T12:58:58.054Z,4,48
